"Province.State","Country.Region","Lat","Long","date","cases","type"
"","Austria",47.5162,14.5501,2020-03-28,614,"confirmed"
"","Austria",47.5162,14.5501,2020-03-29,517,"confirmed"
"","Austria",47.5162,14.5501,2020-03-30,830,"confirmed"
"","Austria",47.5162,14.5501,2020-03-31,562,"confirmed"
"","Austria",47.5162,14.5501,2020-04-01,531,"confirmed"
"","Austria",47.5162,14.5501,2020-04-02,418,"confirmed"
"","Austria",47.5162,14.5501,2020-04-03,395,"confirmed"
"","Austria",47.5162,14.5501,2020-04-04,257,"confirmed"
"","Austria",47.5162,14.5501,2020-04-05,270,"confirmed"
"","Austria",47.5162,14.5501,2020-04-06,246,"confirmed"
"","Austria",47.5162,14.5501,2020-04-07,342,"confirmed"
"","Austria",47.5162,14.5501,2020-04-08,303,"confirmed"
"","Austria",47.5162,14.5501,2020-04-09,302,"confirmed"
"","Austria",47.5162,14.5501,2020-04-10,311,"confirmed"
"","Austria",47.5162,14.5501,2020-04-11,251,"confirmed"
"","Austria",47.5162,14.5501,2020-04-12,139,"confirmed"
"","Austria",47.5162,14.5501,2020-04-13,96,"confirmed"
"","Austria",47.5162,14.5501,2020-04-14,185,"confirmed"
"","Austria",47.5162,14.5501,2020-04-15,110,"confirmed"
"","Austria",47.5162,14.5501,2020-04-16,140,"confirmed"
"","Austria",47.5162,14.5501,2020-04-17,119,"confirmed"
"","Austria",47.5162,14.5501,2020-04-18,76,"confirmed"
"","Austria",47.5162,14.5501,2020-04-19,78,"confirmed"
"","Austria",47.5162,14.5501,2020-04-20,46,"confirmed"
"","Austria",47.5162,14.5501,2020-04-21,78,"confirmed"
"","Austria",47.5162,14.5501,2020-04-22,52,"confirmed"
"","Austria",47.5162,14.5501,2020-04-23,77,"confirmed"
"","Austria",47.5162,14.5501,2020-04-24,69,"confirmed"
"","Austria",47.5162,14.5501,2020-04-25,77,"confirmed"
"","Austria",47.5162,14.5501,2020-04-26,77,"confirmed"
"","Austria",47.5162,14.5501,2020-04-27,49,"confirmed"
"","Austria",47.5162,14.5501,2020-04-28,83,"confirmed"
"","Austria",47.5162,14.5501,2020-04-29,45,"confirmed"
"","Austria",47.5162,14.5501,2020-04-30,50,"confirmed"
"","Austria",47.5162,14.5501,2020-05-01,79,"confirmed"
"","Austria",47.5162,14.5501,2020-05-02,27,"confirmed"
"","Austria",47.5162,14.5501,2020-05-03,39,"confirmed"
